Kode,NamaPaket,Instansi,SatuanKerja,Kategori,SistemPengadaan,TahunAnggaran,NilaiPagu,NilaiHPS,LokasiPekerjaan,SyaratKualifikasi,URL
10129886000,Kode RUP Nama Paket Sumber Dana 66134018 Pengawasan Pembangunan Kapanewon Turi (Tahap 2) APBD 66134018Pengawasan Pembangunan Kapanewon Turi (Tahap 2)APBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 216.540.000,00Rp. 216.528.686,79",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10129886000/pengumumanlelang
10127933000,Kode RUP Nama Paket Sumber Dana 63951374 Jasa Konsultansi Survei Kondisi Jalan APBD 63951374Jasa Konsultansi Survei Kondisi JalanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 400.000.000,00Rp. 399.999.600,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10127933000/pengumumanlelang
10118061000,Kode RUP Nama Paket Sumber Dana 63951375 Jasa Konsultansi Survei Kondisi Jembatan APBD 63951375Jasa Konsultansi Survei Kondisi JembatanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 366.910.000,00Rp. 366.906.060,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10118061000/pengumumanlelang
10116790000,Kode RUP Nama Paket Sumber Dana 65470139 Konsultan Pengawas Peningkatan Jalan Paket 11 Serut - Krikilan APBD 65470139Konsultan Pengawas Peningkatan Jalan Paket 11 Serut - KrikilanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 125.000.000,00Rp. 124.867.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116790000/pengumumanlelang
10149663000,Kode RUP Nama Paket Sumber Dana 67405701 Pembangunan Kapanewon Turi (Tahap 2) APBD 67405701Pembangunan Kapanewon Turi (Tahap 2)APBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 4.881.460.000,00Rp. 4.881.083.645,07",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10149663000/pengumumanlelang
10141430000,Kode RUP Nama Paket Sumber Dana 67027205 Pendataan Bangunan Gedung Kapanewon Tahun 2026 APBD 67027205Pendataan Bangunan Gedung Kapanewon Tahun 2026APBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 200.000.000,00Rp. 199.932.645,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10141430000/pengumumanlelang
10130545000,Kode RUP Nama Paket Sumber Dana 66912926 Belanja Modal Pengadaan IPAL RSUD Sleman APBD 66912926Belanja Modal Pengadaan IPAL RSUD SlemanAPBD,Kab. Sleman,DINAS KESEHATAN,,,APBD 2026,"Rp. 923.000.000,00Rp. 903.352.564,53",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10130545000/pengumumanlelang
10138061000,Kode RUP Nama Paket Sumber Dana 65031308 Jasa Konsultansi Perencanaan Teknis Jalan APBD 65031308Jasa Konsultansi Perencanaan Teknis JalanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 139.410.000,00Rp. 139.408.785,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10138061000/pengumumanlelang
10116787000,Kode RUP Nama Paket Sumber Dana 65470137 Konsultan Pengawas Peningkatan Jalan Paket 9 Pundong - Klaci APBD 65470137Konsultan Pengawas Peningkatan Jalan Paket 9 Pundong - KlaciAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 125.000.000,00Rp. 124.867.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116787000/pengumumanlelang
10139039000,Kode RUP Nama Paket Sumber Dana 63816958 Pemeliharaan Kamar Rusunawa APBD 63816958Pemeliharaan Kamar RusunawaAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 750.000.000,00Rp. 750.000.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139039000/pengumumanlelang
10116784000,Kode RUP Nama Paket Sumber Dana 65470135 Konsultan Pengawas Peningkatan Jalan Paket 3 Sedogan - Sempu APBD 65470135Konsultan Pengawas Peningkatan Jalan Paket 3 Sedogan - SempuAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 280.000.000,00Rp. 278.907.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116784000/pengumumanlelang
