Kode,Nama Paket,K/L/PD/Instansi Lainnya,Satuan Kerja,Jenis Pengadaan,Metode Pengadaan,Tahun Anggaran,Nilai Pagu (dalam Rupiah),Nilai HPS (dalam Rupiah),Lokasi Pekerjaan,URL
10057591000,DED Perencanaan Saluran Drainase Sleman Timur,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,300000000,299743290,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10057591000/pengumumanlelang
10057813000,Tindak Lanjut Identifikasi Kawasan Genangan Sleman Timur,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,279000000,278460150,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10057813000/pengumumanlelang
10058967000,Pendataan Bangunan Gedung Negara,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,350000000,349968570,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10058967000/pengumumanlelang
10082372000,Rehab. Masjid Darojatul Ulya,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBDP 2025,560000000,559899124,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10082372000/pengumumanlelang
10071953000,Rehab. UPT SDA Barat,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,614992200,614956705,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10071953000/pengumumanlelang
10020177000,Pengawasan Pembangunan Kapanewon Turi,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,340000000,337321249,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10020177000/pengumumanlelang
10003893000,Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan (Makanan Siap Saji Pasien) Tahun 2025,Kab. Sleman,Dinas Kesehatan,Jasa Lainnya,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,5100000000,5097189833,Rumah Sakit Umum Daerah Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10003893000/pengumumanlelang
10036542000,"Implementasi Penataan Kawasan Kumuh Perkotaan (Kaliwaru, Condongcatur, Depok)",Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,1000000000,1000000000,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10036542000/pengumumanlelang
10056277000,Belanja Modal Bangunan Fasilitas Umum (Pembangunan Sarana dan Prasarana TPU Madurejo),Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,530000000,530000000,"TPU Madurejo, Kabupaten Sleman - Sleman (Kab.)",https://spse.inaproc.id/slemankab/lelang/10056277000/pengumumanlelang
10038704000,"Implementasi Penataan Kawasan Kumuh Perkotaan (Karanganyar, Sinduadi, Mlati)",Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,1000000000,1000000000,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10038704000/pengumumanlelang
10038015000,Pemeliharaan PSU Perumahan Evaluasi Ulang,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,600000000,600000000,Perumahan Griya Taman Asri Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10038015000/pengumumanlelang
10011645000,Pengawasan Pembangunan Parkir Pasar Godean,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,389000000,388989085,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10011645000/pengumumanlelang
10071848000,Pembangunan Talud Stadion Maguwoharjo,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,430000000,429736719,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10071848000/pengumumanlelang
10049152000,Pembangunan Gedung UPT Perlindungan Perempuan dan Anak Kabupaten Sleman,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Pekerjaan Konstruksi,Tender - Pascakualifikasi Satu File - Harga Terendah Sistem Gugur,APBD 2025,4675000000,4674984079,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10049152000/pengumumanlelang
10032068000,Pengawasan Pembangunan Gedung UPT Perlindungan Perempuan dan Anak Kabupaten Sleman,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,Jasa Konsultansi Badan Usaha Konstruksi,Seleksi - Prakualifikasi Dua File - Kualitas dan Biaya,APBD 2025,250000000,249949225,Kabupaten Sleman - Sleman (Kab.),https://spse.inaproc.id/slemankab/lelang/10032068000/pengumumanlelang
